Designator,Footprint,Mid X,Mid Y,Comment
C1,402,29.972,-6.985,1.0uF
C10,Tant0805,109.601,-31.623,1uF
C11,402,24.384,-21.463,1.0uF
C12,402,23.876,-14.973,1.0uF
C13,402,25.908,-14.338,10nF
C14,402,28.575,-6.985,0.1uF
C15,402,18.161,-9.525,1.0uF
C16,402,-1.397,-19.05,15n
C17,402,22.987,-4.064,0.1uF
C18,402,23.241,-13.081,0.1uF
C19,402,19.685,-6.477,0.1uF
C2,402,32.385,-3.937,1.0uF
C20,603,8.522,-33.782,C0603
C21,402,17.465,-18.054,2.2uF
C22,402,11.557,-30.988,100n
C23,402,10.16,-20.828,2.2uF
C24,402,17.526,-20.701,1.0uF
C25,603,10.414,-22.479,C0603
C26,402,10.414,-24.003,2.2uF
C27,402,0.254,-19.05,15n
C28,402,9.525,-10.414,1.0uF
C29,402,8.509,-10.414,100n
C3,402,51.181,-31.369,1.0uF
C30,402,7.239,0.762,10uF
C31,402,3.937,-14.097,1.0uF
C32,402,3.81,0.762,3.3uF
C4,402,53.975,-31.369,1.0uF
C5,402,20.955,-1.397,1.0uF
C6,402,56.007,-36.195,10nF
C7,402,27.94,-0.635,1.0uF
C8,402,21.082,0.635,10nF
C9,Tant0805,105.537,-28.956,1uF
D1,Diode0603,106.68,-9.525,LED_0603
D2,Diode0603,106.172,-36.195,LED_0603
P1,Teensy3.x,121.285,-14.986,Teensy 3.2
P10,DIP1,78.359,-31.369,DIP1
P11,HDR1X3,-1.765,-5.842,HYDROPHONE
P12,HDR1X2,138.43,0.889,Header 2
P13,HDR1X2,19.05,-32.258,PIEZO
P14,HDR1X2,-1.778,-31.75,PIEZO
P15,Tactile-B3U-1000,78.105,-6.604,Tactile
P16,Tactile-B3U-1000,86.106,-6.604,Tactile
P17,Tactile-B3U-1000,70.104,-6.604,Tactile
P18,HDR1X2,138.557,-35.052,Header 2
P2,MICROUSB-VERT,89.98,-18.191,microUSB-vert
P3,microSD_Molex_hinged,77.216,-19.939,microSD-Molex
P4,HDR_2x1_2mm,121.674,-37.592,USB
P5,HDR1X4,43.561,-35.687,Display
P6,Tactile-B3U-1000,67.577,-18.034,Tactile
P7,Tactile-B3U-1000,64.021,-18.034,Tactile
P8,HDR_2x1_2mm,140.97,1.389,Battery _2mm
P9,HDR_2x1_2mm,141.097,-34.552,Battery _2mm
R1,3-0603,110.363,-8.636,330
R10,3-0603,8.194,-17.673,75k
R11,3-0603,5.22,-33.782,1k
R12,3-0603,6.871,-33.782,0x
R13,3-0603,11.369,-17.673,100k
R14,3-0603,15.748,-31.75,100k
R15,3-0603,0.394,-31.623,10M
R16,3-0603,17.272,-25.273,100k
R17,3-0603,14.605,-27.432,100k
R18,3-0603,14.605,-25.908,68k
R19,3-0603,14.605,-24.384,2.49k
R2,3-0603,138.43,-4.064,40k
R20,3-0603,100.076,2.794,10k
R21,3-0603,0.127,-22.225,1k
R22,3-0603,2.032,-22.225,1k
R23,3-0603,0.254,-15.875,100
R24,3-0603,-1.397,-22.225,100
R25,3-0603,3.683,-10.922,10M
R26,3-0603,49.911,-4.572,4.7k
R27,3-0603,49.911,-1.524,4.7k
R3,3-0603,138.43,-7.493,100k
R4,3-0603,132.842,-9.271,100k
R5,3-0603,132.842,-5.715,100k
R6,3-0603,101.854,-33.02,2k
R7,3-0603,101.727,-30.988,330
R8,3-0603,8.128,-30.988,10k
R9,3-0603,9.845,-17.673,100k
U1,SOT-23-TT3_N,33.147,-6.985,MCP1700T-1802E/TT
U10,AD8436,6.223,-4.699,AD8436
U2,MF05A_N,52.333,-35.179,LP3985IM5-3.3
U3,MF05A_N,24.853,-0.381,LP3985IM5-3.3
U4,SOT-23-OT5_N,106.032,-32.004,MCP73831T-2DCI/OT
U5,MF05A_N,24.765,-18.148,LP3985IM5-3.3
U6,QFN32,23.876,-8.382,SGTL5000
U7,SOP12,14.478,-20.828,LM27762
U8,ADI-RJ-6_N,3.823,-29.845,ADA4805-1
U9,ADI-RJ-6_N,2.921,-18.161,ADA4805-1
